Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Example|Translation
39|2|1|Dialogue|선택하다|to choose|選擇하다|choose, select, do|전공을 신중하게 선택해야 해요.|You need to carefully choose your major.
40|2|1|Dialogue|이용하다|to use|利用하다|benefit, use, do|도서관을 자주 이용해요.|I use the library often.
41|2|1|Dialogue|그렇지않아도|as a matter of fact||that, not, also|그렇지않아도 전화하려고 했어요.|As a matter of fact, I was about to call you.
42|2|1|Expanded|상담내용|content of counseling|相談內容|mutual, talk, inside, contain|상담내용은 비밀로 해 주세요.|Please keep the counseling content confidential.
43|2|1|Expanded|온라인상담|online counseling|相談|mutual, talk|온라인상담이 더 편해요.|Online counseling is more convenient.
44|2|1|Expanded|전화상담|phone counseling|電話相談|electric, word, mutual, talk|전화상담은 오후 2시부터 가능해요.|Phone counseling is available from 2 PM.
45|2|1|Expanded|진학상담|academic counseling|進學相談|advance, study, mutual, talk|진학상담을 받아서 도움이 되었어요.|Academic counseling was helpful.
46|2|1|Expanded|취업상담|career counseling|就業相談|get, work, mutual, talk|취업상담을 통해 정보를 얻었어요.|I got information through career counseling.
47|2|1|Expanded|면담하다|to have an interview|面談하다|face, talk, do|교수님과 면담하기로 했어요.|I decided to have an interview with the professor.
48|2|1|Expanded|의논하다|to discuss|議論하다|discuss, theory, do|친구와 진로에 대해 의논했어요.|I discussed my career path with a friend.
49|2|2|Dialogue|각자|each|各自|each, self|각자 다른 의견을 가지고 있어요.|Each person has different opinions.
50|2|2|Dialogue|전시회|exhibition|展示會|spread, show, meeting|미술 전시회를 보러 갔어요.|I went to see an art exhibition.
51|2|2|Dialogue|가입하다|to sign up for|加入하다|add, enter, do|동아리에 가입하고 싶어요.|I want to sign up for a club.
52|2|2|Dialogue|돌아다니다|to go around||turn, around|캠퍼스를 돌아다니며 구경했어요.|I went around campus looking around.
53|2|2|Dialogue|친하다|to be close||intimate|룸메이트와 아주 친해졌어요.|I became very close with my roommate.
54|2|2|Dialogue|활동하다|to do an activity|活動하다|live, move, do|봉사 활동을 열심히 하고 있어요.|I'm actively doing volunteer work.
55|2|2|Expanded|국악|Korean traditional music|國樂|country, music|국악 연주를 처음 들어봤어요.|I heard Korean traditional music for the first time.
56|2|2|Expanded|발표회|presentation|發表會|emit, express, meeting|연말 발표회 준비가 바빠요.|Preparing for the year-end presentation is busy.
57|2|2|Expanded|연주회|performance|演奏會|perform, play, meeting|클래식 연주회 티켓을 샀어요.|I bought tickets for a classical performance.
58|2|2|Expanded|합창|chorus|合唱|combine, sing|합창단에서 같이 노래해요.|We sing together in the chorus.
59|2|2|Expanded|회원|member|會員|meeting, member|올해 회원이 100명이 되었어요.|We reached 100 members this year.
60|2|2|Expanded|회장|president|會長|meeting, chief|학생회장 선거가 다음 주예요.|The student council president election is next week.
61|2|2|Expanded|들다1|to join||enter|기타 동아리에 들어요.|I'm joining the guitar club.
62|3|1|Dialogue|공간|space|空間|empty, between|넓은 공간이 필요해요.|I need a spacious area.
63|3|1|Dialogue|단독주택|house|單獨住宅|single, alone, live, house|단독주택에서 살고 싶어요.|I want to live in a house.
64|3|1|Dialogue|정원|garden|庭園|courtyard, garden|집 뒤에 작은 정원이 있어요.|There's a small garden behind the house.
65|3|1|Dialogue|가꾸다|to grow||make, arrange|화초를 열심히 가꾸고 있어요.|I'm diligently growing plants.
66|3|1|Dialogue|갖추다1|to be equipped with||have, prepare|필요한 시설을 모두 갖추고 있어요.|It's equipped with all necessary facilities.
67|3|1|Dialogue|관리하다|to maintain|管理하다|manage, reason, do|아파트를 잘 관리하고 있어요.|The apartment is well maintained.
68|3|1|Dialogue|상쾌하다|to be fresh|爽快하다|fresh, pleasant, do|아침 공기가 상쾌해요.|The morning air is fresh.
69|3|1|Expanded|고층|high-rise|高層|high, layer|고층 아파트에서 전망이 좋아요.|The view from the high-rise apartment is nice.
70|3|1|Expanded|교육환경|educational environment|教育環境|teach, educate, environment, boundary|이 지역은 교육환경이 좋아요.|This area has a good educational environment.
71|3|1|Expanded|자연환경|natural environment|自然環境|self, natural, environment, boundary|자연환경을 보호해야 해요.|We need to protect the natural environment.
72|3|1|Expanded|저층|low-rise|低層|low, layer|저층 건물이 더 안전해요.|Low-rise buildings are safer.
73|3|1|Expanded|편의시설|convenience facility|便宜施設|convenient, appropriate,施設|근처에 편의시설이 많아요.|There are many convenience facilities nearby.
74|3|1|Expanded|편리하다|to be convenient|便利하다|convenient, benefit, do|지하철역이 가까워서 편리해요.|It's convenient because the subway station is close.
75|3|1|Expanded|환하다|to be bright|煥하다|bright, do|남향이라서 집이 환해요.|The house is bright because it faces south.
76|3|2|Dialogue|난방|heating|暖房|warm, room|겨울에 난방비가 많이 나와요.|The heating bill is high in winter.
77|3|2|Dialogue|냉방|air-conditioning|冷房|cold, room|여름에는 냉방이 꼭 필요해요.|Air-conditioning is essential in summer.
78|3|2|Dialogue|부동산|real estate agency|不動産|not, move, property|부동산에서 집을 구해요.|I'm looking for a house at the real estate agency.
79|3|2|Dialogue|수도|water|水道|water, way|수도가 잘 안 나와요.|The water doesn't come out well.
80|3|2|Dialogue|신혼부부|newlyweds|新婚夫婦|new, marriage, husband, wife|신혼부부를 위한 아파트예요.|It's an apartment for newlyweds.
81|3|2|Dialogue|통하다|to circulate|通하다|pass, do|바람이 잘 통해서 시원해요.|It's cool because the wind circulates well.
82|3|2|Dialogue|확실하다|to be sure|確實하다|certain, real, do|계약 조건을 확실히 알아야 해요.|You need to be sure about the contract conditions.
83|3|2|Dialogue|당연히|certainly|當然히|proper, natural, -ly|당연히 보증금이 필요해요.|Of course, a deposit is needed.
84|3|2|Expanded|걸리다|to take time||hang|집까지 한 시간 걸려요.|It takes an hour to get home.
85|3|2|Expanded|깨지다|to be broken||break|유리창이 깨졌어요.|The window was broken.
86|3|2|Expanded|꺼지다|to be turned off||extinguish|갑자기 전기가 꺼졌어요.|The electricity suddenly went off.
87|3|2|Expanded|꽂히다|to be stuck||stick|플러그가 잘 꽂혀요.|The plug fits in well.
88|3|2|Expanded|끊기다|to be cut off||cut|전화가 자꾸 끊겨요.|The phone keeps getting cut off.
89|3|2|Expanded|놓이다|to be placed||place|책상 위에 컴퓨터가 놓여 있어요.|A computer is placed on the desk.
90|3|2|Expanded|닫히다|to be closed||close|문이 자동으로 닫혀요.|The door closes automatically.
91|3|2|Expanded|들리다|to be heard||hear|음악이 잘 들려요.|I can hear the music well.
92|3|2|Expanded|먹히다|to be eaten||eat|개한테 신발이 먹혔어요.|My shoes were eaten by the dog.
93|3|2|Expanded|바뀌다|to be changed||change|계획이 갑자기 바뀌었어요.|The plan suddenly changed.
94|3|2|Expanded|보이다1|to be seen||see|창문으로 바다가 보여요.|The sea can be seen through the window.
95|3|2|Expanded|쌓이다|to be accumulated||pile|책상에 서류가 쌓여 있어요.|Documents are piled up on the desk.
96|3|2|Expanded|쓰이다|to be used for||use|이 방은 공부방으로 쓰여요.|This room is used as a study room.
97|3|2|Expanded|씻기다1|to be washed||wash|옷이 깨끗하게 씻겨요.|The clothes get washed clean.
98|3|2|Expanded|안기다|to be held||hold|아이가 엄마 품에 안겨 있어요.|The child is being held in mom's arms.
99|3|2|Expanded|잡히다|to be caught||catch|도둑이 경찰에게 잡혔어요.|The thief was caught by the police.
100|3|2|Expanded|쫓기다|to be chased||chase|고양이가 개한테 쫓겨요.|The cat is being chased by the dog.
101|3|2|Expanded|찍히다|to be poked||poke|사진에 제가 찍혔어요.|I was captured in the photo.
102|3|2|Expanded|찢어지다|to be torn||tear|종이가 반으로 찢어졌어요.|The paper was torn in half.
103|3|2|Expanded|켜지다|to be turned on||light|불이 자동으로 켜져요.|The light turns on automatically.
104|3|2|Expanded|팔리다|to be sold||sell|이 상품이 잘 팔려요.|This product sells well.
105|4|1|Dialogue|비용|cost|費用|expense, use|이사 비용이 많이 들어요.|Moving costs a lot.
106|4|1|Dialogue|예정|plan|豫定|advance, decide|다음 주 이사 예정이에요.|I'm planning to move next week.
107|4|1|Dialogue|포장이사|packing and moving service|包裝移徙|wrap, dress, move, change|포장이사 업체를 찾고 있어요.|I'm looking for a packing and moving service.
108|4|1|Dialogue|들다2|to cost||enter|이사하는 데 돈이 많이 들어요.|Moving costs a lot of money.
109|4|1|Dialogue|챙기다|to pack or to take||prepare|중요한 서류를 꼭 챙기세요.|Please make sure to pack important documents.
110|4|1|Dialogue|혹시|perhaps|或是|perhaps, be|혹시 도움이 필요하면 연락하세요.|If you perhaps need help, please contact me.
111|4|1|Expanded|싸다|to pack||wrap|짐을 박스에 싸고 있어요.|I'm packing things in boxes.
112|4|1|Expanded|옮기다|to move||move|가구를 다른 방으로 옮겼어요.|I moved the furniture to another room.
113|4|1|Expanded|잡다|to set||catch|이사 날짜를 잡았어요.|I set the moving date.
114|4|1|Expanded|정리하다|to organize|整理하다|arrange, reason, do|방을 깨끗하게 정리했어요.|I organized the room neatly.
115|4|2|Dialogue|벌금|fine|罰金|punish, money|쓰레기를 잘못 버리면 벌금을 내요.|You pay a fine if you throw away trash incorrectly.
116|4|2|Dialogue|비닐|plastic||vinyl|비닐봉지 사용을 줄여야 해요.|We need to reduce plastic bag usage.
117|4|2|Dialogue|재활용품|recyclables|再活用品|again, live, use, product|재활용품은 따로 모아 주세요.|Please collect recyclables separately.
118|4|2|Dialogue|두다|to leave||put|쓰레기를 밖에 두지 마세요.|Don't leave trash outside.
119|4|2|Dialogue|버리다|to throw away||throw|종이는 재활용통에 버리세요.|Throw paper in the recycling bin.
120|4|2|Dialogue|따로따로|separately||separately|음식물과 일반 쓰레기를 따로따로 버려요.|Throw food waste and general trash separately.
121|4|2|Dialogue|제대로|correctly|제대로|properly|분리수거를 제대로 해야 해요.|You need to do waste separation correctly.
122|4|2|Expanded|건전지|battery|乾電池|dry, electric, pond|다 쓴 건전지는 따로 버려야 해요.|Used batteries must be thrown away separately.
123|4|2|Expanded|종량제봉투|standard plastic trash bag|從量制封套|follow, amount, system, seal, bag|종량제봉투에 쓰레기를 넣어 주세요.|Please put trash in the standard bag.
124|4|2|Expanded|음식물쓰레기|food trash|飲食物쓰레기|drink, eat, thing, trash|음식물쓰레기통에 물기를 빼고 버려요.|Drain the water before throwing in food waste bin.
125|4|2|Expanded|일반쓰레기|non-food trash|一般쓰레기|one, general, trash|일반쓰레기는 종량제봉투에 넣어요.|Put general trash in the standard bag.
126|4|2|Expanded|형광등|fluorescent light|螢光燈|firefly, light, lamp|형광등은 특별히 수거해요.|Fluorescent lights are collected specially.
127|4|2|Expanded|가득하다|to be full||full|쓰레기통이 가득해요.|The trash can is full.
128|4|2|Expanded|치우다|to clean||remove|방을 깨끗하게 치웠어요.|I cleaned the room up neatly.
129|5|1|Dialogue|기본적|basic|基本的|foundation, main, -like|기본적인 예의는 지켜야 해요.|You must observe basic manners.
130|5|1|Dialogue|첫인상|first impression|첫印象|first, seal, image|첫인상이 매우 중요해요.|First impressions are very important.
131|5|1|Dialogue|놀라다|to be surprised||surprise|갑작스러운 소식에 놀랐어요.|I was surprised by the sudden news.
132|5|1|Dialogue|당황스럽다|to be taken aback|當慌스럽다|proper, confused, -like|예상치 못한 질문에 당황스러웠어요.|I was taken aback by the unexpected question.
133|5|1|Dialogue|창피하다|to be embarrassed||shame|실수해서 정말 창피했어요.|I was really embarrassed because I made a mistake.
134|5|1|Dialogue|찾아뵈다|to visit||find, see|교수님을 사무실로 찾아뵈었어요.|I visited the professor at their office.
135|5|1|Dialogue|쳐다보다|to look at||hit, look|모든 사람들이 저를 쳐다봤어요.|Everyone was looking at me.
136|5|1|Dialogue|깜짝|with surprise||surprise|깜짝 놀라서 소리를 질렀어요.|I screamed with surprise.
137|5|1|Expanded|겨우|only||barely|겨우 5분 전에 도착했어요.|I arrived only 5 minutes ago.
138|5|1|Expanded|결국|ultimately|結局|tie, situation|결국 포기하기로 했어요.|I ultimately decided to give up.
139|5|1|Expanded|괜히|uselessly||needlessly|괜히 걱정했네요.|I worried uselessly.
140|5|1|Expanded|되게|very||become|오늘 되게 추워요.|It's very cold today.
141|5|1|Expanded|잔뜩|to the full||full|기대를 잔뜩 하고 있어요.|I'm full of expectations.
142|5|1|Expanded|차츰|little by little||gradually|한국어가 차츰 늘고 있어요.|My Korean is improving little by little.
143|5|1|Expanded|하도|so much||so|하도 바빠서 연락을 못 했어요.|I was so busy that I couldn't contact you.
144|5|2|Dialogue|영양|nutrition|營養|manage, nourish|영양 균형을 맞춰서 먹어야 해요.|You need to eat with balanced nutrition.
145|5|2|Dialogue|간단하다|to be simple|簡單하다|simple, single, do|아침은 간단하게 먹어요.|I eat breakfast simply.
146|5|2|Dialogue|서투르다|to not be good at||clumsy|요리에 아직 서툴러요.|I'm still not good at cooking.
147|5|2|Dialogue|풍부하다|to be abundant|豐富하다|rich, wealthy, do|이 음식은 비타민이 풍부해요.|This food is rich in vitamins.
148|5|2|Dialogue|골고루|evenly||evenly|야채를 골고루 먹어야 해요.|You should eat vegetables evenly.
149|5|2|Dialogue|한꺼번에|all at once||one, time|숙제를 한꺼번에 다 했어요.|I did all my homework at once.
150|5|2|Expanded|간식|snack|間食|between, eat|오후에 간식을 먹었어요.|I had a snack in the afternoon.
151|5|2|Expanded|끼|number of meals||meal|하루 세 끼를 규칙적으로 먹어요.|I eat three meals a day regularly.
152|5|2|Expanded|야식|late night snack|夜食|night, eat|야식을 자주 먹으면 안 좋아요.|Eating late night snacks often is not good.
153|5|2|Expanded|인스턴트식품|instant foods|食品|eat, product|인스턴트식품보다 집밥이 좋아요.|Home-cooked meals are better than instant foods.
154|5|2|Expanded|조리시간|cooking time|調理時間|adjust, reason, time, between|이 요리는 조리시간이 짧아요.|This dish has a short cooking time.
155|5|2|Expanded|간편하다|to be convenient|簡便하다|simple, convenient, do|전자레인지 요리가 간편해요.|Microwave cooking is convenient.
156|5|2|Expanded|굶다|to starve||starve|아침을 굶으면 힘들어요.|It's hard if you skip breakfast.
157|6|1|Dialogue|국제진료센터|International Health Care Center|國際診療센터|country, border, diagnose, treat, center|외국인들이 많이 찾는 곳이에요.|It's a place that many foreigners visit.
158|6|1|Dialogue|기온|temperature|氣溫|air, warm|요즘 기온이 많이 내려갔어요.|The temperature has dropped a lot recently.
159|6|1|Dialogue|당일|same-day|當日|correspond, day|당일 접수도 가능하다고 해요.|They say same-day registration is also possible.
160|6|1|Dialogue|아침저녁|mornings and evenings||morning, evening|아침저녁으로 약을 드세요.|Take the medicine in the mornings and evenings.
161|6|1|Dialogue|진찰|medical examination|診察|diagnose, examine|오늘 오후에 진찰 받을 예정이에요.|I'm scheduled to have a medical examination this afternoon.
162|6|1|Dialogue|내려가다|to go down||down, go|열이 좀 내려간 것 같아요.|It seems like the fever has gone down a bit.
163|6|1|Dialogue|앓다|to be sick with||to be ill|감기를 일주일째 앓고 있어요.|I've been sick with a cold for a week.
164|6|1|Expanded|수납|payment|收納|receive, pay|수납창구는 1층에 있습니다.|The payment counter is on the first floor.
165|6|1|Expanded|식후|after meals|食後|eat, after|식후 30분에 복용하세요.|Take it 30 minutes after meals.
166|6|1|Expanded|접수|registration|接受|receive, accept|접수 시간이 끝나기 전에 가야 해요.|I need to go before registration time ends.
167|6|1|Expanded|진찰실|treatment room|診察室|diagnose, examine, room|3번 진찰실로 들어가세요.|Please enter treatment room number 3.
168|6|1|Expanded|처방전|prescription|處方箋|handle, direction, slip|처방전을 가지고 약국에 가세요.|Take the prescription and go to the pharmacy.
169|6|1|Expanded|체온|body temperature|體溫|body, warm|체온을 먼저 재겠습니다.|I'll take your body temperature first.
170|6|1|Expanded|체중|weight|體重|body, heavy|체중이 3킬로그램 늘었어요.|My weight increased by 3 kilograms.
171|6|1|Expanded|복용하다|to intake|服用하다|take, use, do|하루에 세 번 복용하시면 됩니다.|You can take it three times a day.
172|6|2|Dialogue|발목|ankle||foot, neck|계단에서 발목을 다쳤어요.|I hurt my ankle on the stairs.
173|6|2|Dialogue|뼈|bone||bone|뼈에 금이 간 것 같아요.|I think there's a crack in the bone.
174|6|2|Dialogue|엑스레이|x-ray||X-ray (loanword)|엑스레이를 찍어야 할 것 같네요.|It looks like we need to take an X-ray.
175|6|2|Dialogue|진통제|painkiller|鎭痛劑|suppress, pain, medicine|진통제를 드릴까요?|Shall I give you a painkiller?
176|6|2|Dialogue|회복|recovery|回復|return, restore|빠른 회복을 위해 충분히 쉬세요.|Rest sufficiently for a quick recovery.
177|6|2|Dialogue|삐다|to sprain||to twist|운동하다가 발목을 삐었어요.|I sprained my ankle while exercising.
178|6|2|Dialogue|처방하다|to prescribe|處方하다|handle, direction, do|의사선생님이 약을 처방해 주셨어요.|The doctor prescribed medicine for me.
179|6|2|Dialogue|촬영하다|to take a photograph or to film|撮影하다|take, shadow, do|내일 MRI 촬영하러 와야 해요.|I need to come for an MRI scan tomorrow.
180|6|2|Expanded|안과|ophthalmology|眼科|eye, subject|안과에서 시력검사를 받았어요.|I had an eye exam at the ophthalmology department.
181|6|2|Expanded|여드름|pimples||acne|스트레스 때문에 여드름이 났어요.|I got pimples because of stress.
182|6|2|Expanded|정형외과|orthopedics|整形外科|correct, form, outside, subject|정형외과에서 물리치료를 받고 있어요.|I'm receiving physical therapy at orthopedics.
183|6|2|Expanded|증상|symptoms|症狀|symptom, condition|어떤 증상이 있으신가요?|What symptoms do you have?
184|6|2|Expanded|피부과|dermatology|皮膚科|skin, skin, subject|피부과 예약을 잡았어요.|I made an appointment at dermatology.
185|6|2|Expanded|가렵다|to be itchy||to itch|모기에 물린 곳이 가려워요.|The mosquito bite is itchy.
186|6|2|Expanded|쓰러지다|to collapse||to fall down|갑자기 쓰러져서 병원에 갔어요.|I suddenly collapsed and went to the hospital.
187|6|2|Expanded|어지럽다|to be dizzy||to be confused|머리가 어지러워서 앉아 있어요.|I'm sitting because I feel dizzy.
188|7|1|Dialogue|일시|date and time|日時|day, time|공연 일시를 확인해 주세요.|Please check the performance date and time.
189|7|1|Dialogue|좌석|seats|座席|sit, seat|좋은 좌석이 남아 있나요?|Are there any good seats left?
190|7|1|Dialogue|대단하다|to be great|大端하다|big, end, do|정말 대단한 연주였어요.|It was really a great performance.
191|7|1|Dialogue|매진되다|to be sold out|賣盡되다|sell, exhaust, become|인기 있는 공연은 금방 매진돼요.|Popular performances get sold out quickly.
192|7|1|Dialogue|상영하다|to show or put on the screen|上映하다|up, reflect, do|새 영화를 상영하고 있어요.|They're showing a new movie.
193|7|1|Dialogue|그리|not very||not so|그리 비싸지 않은 것 같은데요.|It doesn't seem very expensive.
194|7|1|Expanded|경기장|stadium|競技場|compete, skill, place|경기장에서 축구를 봤어요.|I watched soccer at the stadium.
195|7|1|Expanded|공연장|performance hall|公演場|public, perform, place|새로 지은 공연장이 정말 크네요.|The newly built performance hall is really big.
196|7|1|Expanded|관람객|audience|觀覽客|watch, view, guest|관람객들이 박수를 치고 있어요.|The audience is clapping.
197|7|1|Expanded|상영관|theater|上映館|up, reflect, building|몇 번 상영관인지 확인해 보세요.|Check which theater number it is.
198|7|1|Expanded|경기하다|to play a match|競技하다|compete, skill, do|오늘 저녁에 경기해요.|We're playing a match this evening.
199|7|1|Expanded|공연하다|to perform|公演하다|public, perform, do|다음 주에 학교에서 공연할 예정이에요.|We're planning to perform at school next week.
200|7|1|Expanded|관람하다|to watch|觀覽하다|watch, view, do|미술관에서 전시회를 관람했어요.|I viewed an exhibition at the art museum.
201|7|2|Dialogue|감동|inspiration|感動|feel, move|정말 큰 감동을 받았어요.|I was really deeply moved.
202|7|2|Dialogue|세계적|world-class|世界的|world, boundary, target|세계적으로 유명한 배우예요.|He's a world-famous actor.
203|7|2|Dialogue|연기|acting|演技|perform, skill|그 배우의 연기가 인상적이었어요.|That actor's acting was impressive.
204|7|2|Dialogue|주인공|protagonist|主人公|main, person, public|영화의 주인공이 누구예요?|Who is the protagonist of the movie?
205|7|2|Dialogue|알려지다|to become known||to be known|그 가수가 한국에도 알려졌어요.|That singer became known in Korea too.
206|7|2|Dialogue|표현하다|to express|表現하다|express, appear, do|감정을 잘 표현하는 배우예요.|He's an actor who expresses emotions well.
207|7|2|Dialogue|훌륭하다|to be superb or excellent||to be excellent|정말 훌륭한 작품이었어요.|It was truly an excellent work.
208|7|2|Expanded|감동적|to be touching|感動的|feel, move, target|정말 감동적인 이야기였어요.|It was a really touching story.
209|7|2|Expanded|대사|lines|臺詞|platform, words|배우들의 대사가 기억에 남아요.|The actors' lines are memorable.
210|7|2|Expanded|무대|stage|舞臺|dance, platform|무대가 정말 화려해요.|The stage is really splendid.
211|7|2|Expanded|작품|work of art|作品|make, item|이번에 새 작품을 발표했어요.|They released a new work this time.
212|7|2|Expanded|주제|theme|主題|main, topic|영화의 주제가 무엇인가요?|What is the theme of the movie?
213|7|2|Expanded|환상적|fantastic|幻想的|illusion, think, target|정말 환상적인 경험이었어요.|It was truly a fantastic experience.
214|7|2|Expanded|신나다|to be excited||spirit, come out|콘서트가 정말 신났어요.|The concert was really exciting.
215|7|2|Expanded|지루하다|to be boring||to drag on|영화가 좀 지루했어요.|The movie was a bit boring.
216|8|1|Dialogue|규칙적|routine|規則的|rule, then, target|규칙적인 생활을 하려고 해요.|I'm trying to live a regular life.
217|8|1|Dialogue|기운|energy||energy, spirit|요즘 기운이 없어 보여요.|You look like you have no energy lately.
218|8|1|Dialogue|습관|habit|習慣|learn, accustom|나쁜 습관을 고치고 싶어요.|I want to break bad habits.
219|8|1|Dialogue|식욕|appetite|食慾|eat, desire|감기 때문에 식욕이 없어요.|I have no appetite because of my cold.
220|8|1|Dialogue|불규칙하다|to be irregular|不規則하다|not, rule, then, do|생활 패턴이 불규칙해요.|My life pattern is irregular.
221|8|1|Dialogue|대충|haphazardly||roughly|대충 먹고 나왔어요.|I ate hastily and came out.
222|8|1|Dialogue|뜻대로|according to plan||meaning, according to|일이 뜻대로 안 되네요.|Things aren't going according to plan.
223|8|1|Expanded|과식|overeating|過食|exceed, eat|어제 과식해서 배가 아파요.|My stomach hurts because I overate yesterday.
224|8|1|Expanded|과음|excessive drinking|過飮|exceed, drink|과음하지 않도록 조심하세요.|Be careful not to drink excessively.
225|8|1|Expanded|금연|no smoking|禁煙|forbid, smoke|병원에서 금연하기로 했어요.|I decided to quit smoking at the hospital.
226|8|1|Expanded|금주|no drinking|禁酒|forbid, alcohol|건강을 위해 금주 중이에요.|I'm abstaining from alcohol for my health.
227|8|1|Expanded|소식|light eating|小食|small, eat|소식하는 게 건강에 좋대요.|They say eating lightly is good for health.
228|8|1|Expanded|음주|drinking|飮酒|drink, alcohol|음주 후 운전은 위험해요.|Driving after drinking is dangerous.
229|8|1|Expanded|편식|be picky about food|偏食|lean, eat|편식하지 말고 골고루 드세요.|Don't be picky and eat a balanced diet.
230|8|1|Expanded|흡연|smoking|吸煙|inhale, smoke|흡연구역이 따로 있어요.|There's a separate smoking area.
231|8|1|Expanded|게으르다|to be lazy||to be lazy|요즘 너무 게을러졌어요.|I've become too lazy lately.
